,Adj Close
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,1966.2572082499998
20,1976.7160522499998
21,1990.9029113499996
22,2005.3339843500003
23,2018.2673767
24,2033.0024719
25,2047.37623895
26,2059.4299621
27,2072.8791991499997
28,2086.9822997
29,2101.52410265
30,2114.9453368000004
31,2125.9930297
32,2137.82384635
33,2149.29990835
34,2162.1982665
35,2175.6430175
36,2187.7238769
37,2196.9107055
38,2197.7290648499998
39,2194.3604247000003
40,2190.65317375
41,2186.47609855
42,2181.24537345
43,2178.5240844
44,2175.02120355
45,2170.88626705
46,2167.9874877499997
47,2163.81749265
48,2156.7199951000002
49,2148.6800049
50,2141.16500245
51,2134.88499755
52,2128.22000735
53,2122.55750735
54,2115.6425049
55,2109.04500735
56,2104.8125
57,2102.42249755
58,2101.0425048999996
59,2099.4925049
60,2096.9700012499998
61,2094.10000615
62,2090.96751105
63,2088.1400086000003
64,2085.01751105
65,2083.9650086
66,2085.17500615
67,2084.9975037
68,2085.2950012499996
69,2085.4924988000002
70,2086.3725037
71,2087.5975037
72,2090.7624938999998
73,2093.8174988
74,2097.08250125
75,2101.0249939
76,2102.40249635
77,2105.2350036999997
78,2110.57749635
79,2117.95750125
80,2127.6125
81,2136.3199951
82,2148.06749265
83,2157.34998775
84,2166.31749265
85,2175.84998775
86,2188.56248775
87,2205.3899902000003
88,2223.5774902000003
89,2240.74249265
90,2256.1574951
91,2269.20999755
92,2280.35
93,2290.59000245
94,2303.7875
95,2314.68250735
96,2326.98751225
97,2339.1050049
98,2351.44500735
99,2365.80999755
100,2378.42249755
101,2393.275
102,2407.16500245
103,2420.65001225
104,2433.25750735
105,2444.7225098
106,2453.1050049
107,2462.2849975500003
108,2468.23250735
109,2475.2849975500003
110,2487.5674926500005
111,2501.6224853
112,2516.5899902
113,2532.4224853
114,2546.03248285
115,2561.8849853
116,2578.7599853
117,2593.54498285
118,2603.14498285
119,2610.01998285
120,2615.9749877500003
121,2622.80499265
122,2626.7724853
123,2630.3099853
124,2631.1599853
125,2631.8649902
126,2629.0974975500003
127,2622.8175048999997
128,2619.7675049
129,2616.24500735
130,2608.7675049
131,2603.6300048999997
132,2597.9675049
133,2592.8750122499996
134,2586.7450196
135,2577.2600098
136,2563.8675049
137,2552.51251225
138,2539.57501225
139,2527.49752205
140,2514.9775146999996
141,2506.5725098
142,2495.8325196
143,2487.9775147
144,2481.4350098
145,2477.89500735
146,2476.9975098
147,2473.2300049
148,2466.4175048999996
149,2460.41251225
150,2455.2325196
151,2450.56002205
152,2445.78001715
153,2436.60750735
154,2426.725
155,2419.49000245
156,2416.48499755
157,2409.84249265
158,2405.52249755
159,2401.79249265
160,2402.52750245
161,2396.1425049
162,2394.1525024499997
163,2390.5900024499997
164,2390.24000245
165,2387.01500245
166,2380.82750245
167,2378.8224975499998
168,2380.88499755
169,2384.69749755
170,2387.2724975499996
171,2385.275
172,2384.12750245
173,2385.54500735
174,2389.3150147
175,2396.71002205
176,2403.2800294
177,2413.20753185
178,2426.95252695
179,2437.4800294
180,2445.2550294000002
181,2450.86502695
182,2456.1175294
183,2456.5000245
184,2455.2425294
185,2452.0225343
186,2450.8600343
187,2451.7825441
188,2450.5250367500003
189,2446.7975343
190,2440.9550294
191,2436.69503185
192,2430.75003675
193,2426.6525392
194,2423.05003675
195,2416.0475343000003
196,2408.1025269499996
197,2398.0800293999996
198,2391.36502695
199,2385.92252205
200,2382.01751715
201,2379.3650147
202,2375.4675048999998
203,2376.0225098
204,2376.06251225
205,2371.94500735
206,2369.35
207,2367.99749755
208,2368.99000245
209,2368.72750245
210,2367.3675049000003
211,2362.7800049
212,2358.7
213,2358.6025024500004
214,2359.0400024500004
215,2359.9449950999997
216,2362.0675049
217,2363.3125
218,2362.58250735
219,2366.02000735
220,2367.2150024499997
221,2372.55250245
222,2379.5175049
223,2389.0
224,2400.0900024499997
225,2418.4
226,2435.3300049
227,2451.0
228,2462.80999755
229,2476.6875
230,2493.5949951
231,2512.9199951
232,2532.0974975500003
233,2543.03499755
234,2554.20499265
235,2564.7574950999997
236,2571.86749265
237,2581.2774902
238,2588.3024902
239,2596.2574950999997
240,2608.80999755
241,2621.35750735
242,2632.33751225
243,2638.1550171500003
244,2647.14500735
245,2654.9650147
246,2664.83001715
247,2670.6950196
